paper,pose,angle,bx,act,phi,currentBoxArea,candidateTipArea,candidateArmArea
0.2,0.229,136.5159884913905,-33,0,155,0,0,0
0.2,0.23,136.7990581696183,-33,0,155,0,0,0
0.2,0.231,137.08212784784615,-33,0,155,0,0,0
0.2,0.232,137.36519752607398,-33,0,155,0,0,0
0.2,0.233,137.64826720430182,-33,0,155,0,0,0
0.2,0.234,137.93133688252962,-33,0,155,0,0,0
0.2,0.235,138.21440656075745,-33,0,155,0,0,0
0.2,0.236,138.49747623898529,-33,0,155,0,0,0
0.2,0.237,138.78054591721317,-33,0,155,0,0,0
0.2,0.238,139.06361559544098,-33,0,155,0,0,0
0.2,0.239,139.34668527366878,-33,0,155,0,0,0
0.2,0.24,139.62975495189664,-33,0,155,0,0,0
0.2,0.241,139.91282463012448,-33,0,155,0,0,0
0.2,0.242,140.19589430835234,-33,0,155,0,0,0
0.2,0.243,140.47896398658014,-33,0,155,0,0,0
0.2,0.244,140.76203366480794,-33,0,155,0,0,0
0.2,0.245,141.0451033430358,-33,0,155,0,0,0
0.2,0.246,141.32817302126367,-33,0,155,0,0,0
0.2,0.247,141.61124269949147,-33,0,155,0,0,0
0.2,0.248,141.8943123777193,-33,0,155,0,0,0
0.2,0.249,142.17738205594713,-33,0,155,0,0,0
0.2,0.25,142.46045173417497,-33,0,155,0,0,0
0.2,0.251,142.7435214124028,-33,0,155,0,0,0
0.2,0.252,143.02659109063063,-33,0,155,0,0,0
0.2,0.253,143.30966076885846,-33,0,155,0,0,0
0.2,0.254,143.5927304470863,-33,0,155,0,0,0
0.2,0.255,143.87580012531416,-33,0,155,0,0,0
0.2,0.256,144.15886980354196,-33,0,155,0,0,0
0.2,0.257,144.4419394817698,-33,0,155,0,0,0
0.2,0.258,144.72500915999763,-33,0,155,0,0,0
0.2,0.259,145.0080788382255,-33,0,155,0,0,0
0.2,0.26,145.2911485164533,-33,0,155,0,0,0
0.2,0.261,145.57421819468112,-33,0,155,0,0,0
0.2,0.262,145.85728787290898,-33,0,155,0,0,0
0.2,0.263,146.1403575511368,-33,0,155,0,0,0
0.2,0.264,146.42342722936465,-33,0,155,0,0,0
0.2,0.265,146.70649690759245,-33,0,155,0,0,0
0.2,0.266,146.9895665858203,-33,0,155,0,0,0
0.2,0.267,147.27263626404815,-33,0,155,0,0,0
0.2,0.268,147.555705942276,-33,0,155,0,0,0
0.2,0.269,147.8387756205038,-33,0.007813393043679354,155,0,0,0
0.2,0.27,148.1218452987316,-33,0.018242131367668786,155,0,0,0
0.2,0.271,148.40491497695947,-33,0.028614143320636512,155,0,0,0
0.2,0.272,148.6879846551873,-33,0.0389304505838563,155,0,0,0
0.2,0.273,148.97105433341514,-33,0.049192057262139176,155,0,0,0
0.2,0.274,149.25412401164297,-33,0.05939995032587488,155,0,0,0
0.2,0.275,149.5371936898708,-33,0.06955510004079915,155,0,0,0
0.2,0.276,149.82026336809864,-33,0.07965846038586473,155,0,0,0
0.2,0.277,150.10333304632647,-33,0.08971096945964747,155,0,0,0
0.2,0.278,150.3864027245543,-33,0.09971354987563559,155,0,0,0
0.2,0.279,150.66947240278213,-33,0.10966710914680267,155,0,0,0
0.2,0.28,150.95254208100997,-33,0.11957254005979066,155,0,0,0
0.2,0.281,151.23561175923783,-33,0.12943072103906067,155,0,0,0
0.2,0.282,151.51868143746563,-33,0.1392425165013362,155,0,0,0
0.2,0.283,151.80175111569346,-33,0.14900877720066272,155,0,0,0
0.2,0.284,152.0848207939213,-33,0.15873034056436397,155,0,0,0
0.2,0.285,152.36789047214913,-33,0.16840803102022867,155,0,0,0
0.2,0.286,152.65096015037696,-33,0.17804266031517357,155,0,0,0
0.2,0.287,152.9340298286048,-33,0.1876350278256879,155,0,0,0
0.2,0.288,153.21709950683262,-33,0.19718592086029532,155,0,0,0
0.2,0.289,153.50016918506046,-33,0.20669611495431475,155,0,0,0
0.2,0.29,153.7832388632883,-33,0.21616637415714587,155,0,0,0
0.2,0.291,154.06630854151615,-33,0.2255974513123243,155,0,0,0
0.2,0.292,154.34937821974395,-33,0.23499008833057827,155,0,0,0
0.2,0.293,154.6324478979718,-33,0.24434501645610732,155,0,0,0
0.2,0.294,154.91551757619962,-33,0.25366295652628956,154.71842890544568,0,0,0
0.2,0.295,155.19858725442745,-33,0.2629446192250285,154.0049484405232,0,0,0
0.2,0.296,155.4816569326553,-33,0.2721907053299483,153.2942027447388,0,0,0
0.2,0.297,155.76472661088312,-33,0.2814019059536084,152.58613869234054,0,0,0
0.2,0.298,156.04779628911095,-33,0.29057890277894743,151.8807038824304,0,0,0
0.2,0.299,156.33086596733878,-33,0.29972236828911986,151.1778466212969,0,0,0
0.2,0.3,156.61393564556664,-33,0.308832965991903,150.47751590516495,0,0,0
0.2,0.301,156.89700532379447,-33,0.31791135063884984,149.77966140334937,0,0,0
0.2,0.302,157.18007500202228,-33,0.3269581684393427,149.08423344180088,0,0,0
0.2,0.303,157.46314468025014,-33,0.335974057269707,148.39118298703144,0,0,0
0.2,0.304,157.74621435847797,-33,0.3449596468775357,147.7004616304078,0,0,0
0.2,0.305,158.0292840367058,-33,0.3539155590813789,147.01202157280142,0,0,0
0.2,0.306,158.31235371493364,-33,0.3628424079659348,146.3258156095842,0,0,0
0.2,0.307,158.59542339316144,-33,0.3717408000728795,145.64179711595935,0,0,0
0.2,0.308,158.8784930713893,-33,0.38061133458747437,144.95992003261696,0,0,0
0.2,0.309,159.16156274961713,-33,0.38945460352107436,144.28013885170458,0,0,0
0.2,0.31,159.44463242784497,-33,0.3982711918896702,143.60240860310262,0,0,0
0.2,0.311,159.7277021060728,-33,0.40706167788858205,142.92668484099585,0,0,0
0.2,0.312,160.01077178430063,-33,0.4158266330634194,142.25292363073152,0,0,0
0.2,0.313,160.29384146252846,-33,0.4245666224774245,141.5810815359559,0,0,0
0.2,0.314,160.5769111407563,-33,0.4332822048753132,140.91111560601954,0.00003367254331054781,0,0
0.2,0.315,160.85998081898413,-33,0.4419739328437176,140.24298336364458,0.00031019233302576055,0,0
0.2,0.316,161.14305049721196,-33,0.4506423529683313,139.57664279284435,0.000857115320675339,0,0
0.2,0.317,161.42612017543982,-33,0.45928800598786235,138.9120523270896,0.0016642831897908383,0,0
0.2,0.318,161.70918985366762,-33,0.46791142694489324,138.2491708377116,0.002721669813407379,0,0
0.2,0.319,161.99225953189546,-33,0.47651314533374234,137.58795762253604,0.004019381193043348,0,0
0.2,0.32,162.2753292101233,-33,0.4850936852454127,136.92837239474102,0.005547655319925404,0,0
0.2,0.321,162.55839888835112,-33,0.4936535655097295,136.2703752719308,0.0072968619648721145,0.0001548470941514779,0
0.2,0.322,162.84146856657898,-33,0.5021932998347407,135.61392676542005,0.009257502402933104,0.002061455770988596,0
0.2,0.323,163.12453824480679,-33,0.5107133969434778,134.95898776972135,0.011420209078581545,0.002752213680676352,0
0.2,0.324,163.40760792303462,-33,0.5192143607081523,134.30551955222913,0.013775745216988433,0.0015165207417298099,0
0.2,0.325,163.69067760126248,-33,0.5276966902818664,133.6534837430953,0.01631500438662936,0.0005450309000867293,0
0.2,0.326,163.97374727949034,-33,0.5361608802279181,133.00284232528972,0.019029010018227765,0.000046660194460645954,0
0.2,0.327,164.25681695771814,-33,0.5446074206467789,132.353557624839,0.02190368553988442,0,0
0.2,0.328,164.53988663594595,-33,0.5530367973008169,131.70559230123953,0.02393347097919052,0,0
0.2,0.329,164.82295631417378,-33,0.5614494917368298,131.05890933803806,0.024360457252130097,0,0
0.2,0.33,165.10602599240164,-33,0.5698459814064686,130.41347203357483,0.02413773734525515,0,0
0.2,0.331,165.3890956706295,-33,0.5782267397846095,129.76924399188454,0.024038023859489055,0,0
0.2,0.332,165.67216534885728,-33,0.5865922364857489,129.1261891137486,0.02428774382905141,0,0
0.2,0.333,165.9552350270851,-33,0.594942937378484,128.48427158789553,0.026539164987496644,0,0
0.2,0.334,166.23830470531297,-33,0.6032793046981345,127.84345588234345,0.031147893262328363,0,0
0.2,0.335,166.52137438354083,-33,0.6116017971575732,127.20370673588066,0.0372151521958175,0,0
0.2,0.336,166.8044440617686,-33,0.6199108700563276,126.56498914967884,0.04341675748857998,0,0
0.2,0.337,167.08751373999644,-33,0.6282069753880073,125.92726837903537,0.04973492806476543,0,0
0.2,0.338,167.3705834182243,-33,0.6364905619461098,125.29050992523983,0.056161878685509814,0,0
0.2,0.339,167.65365309645216,-33,0.6447620754282662,124.65467952756086,0.06268988083443272,0,0
0.2,0.34,167.93672277467996,-33,0.653021958538981,124.0197431553483,0.06893419079827812,0,0
0.2,0.341,168.21979245290777,-33,0.6612706510909185,123.38566700024751,0.07451059081866207,0,0
0.2,0.342,168.5028621311356,-33,0.6695085901047806,122.75241746852173,0.07938249928422669,0,0
0.2,0.343,168.78593180936346,-33,0.6777362099078387,122.11996117347785,0.08382221923433741,0.005320598641592511,0
0.2,0.344,169.0690014875913,-33,0.6859539422311564,121.48826492799311,0.08829111194139605,0.016999282129514404,0
0.2,0.345,169.35207116581913,-33,0.6941622163055668,120.85729573713714,0.09278805071803764,0.026764546165670478,0
0.2,0.346,169.63514084404693,-33,0.7023614589564328,120.22702079088782,0.09730652350941171,0.034665339513559434,0
0.2,0.347,169.91821052227476,-33,0.7105520946972543,119.59740745693571,0.10184013468597386,0.0407430750593154,0
0.2,0.348,170.20128020050262,-33,0.71873454582216,118.96842327357423,0.10638260448859849,0.04503102334944575,0
0.2,0.349,170.48434987873046,-33,0.7269092324973208,118.34003594267267,0.11092776849822417,0.04755469604103868,0
0.2,0.35,170.7674195569583,-33,0.7350765728513503,117.71221332272714,0.11546957713170469,0.048332143726668164,0
0.2,0.351,170.8035824591735,-32.9948254779456,0.7361194643247616,117.63204636154094,0.11604925900732765,0.048779198231522436,0
0.2,0.352,170.83974536138874,-32.989680946055756,0.7371622435611476,117.55188802800342,0.11662877686019235,0.049209094675359166,0
0.2,0.353,170.87590826360395,-32.984566364196084,0.7382049114255278,117.47173825562065,0.11720811847972445,0.049622427904831845,0
0.2,0.354,170.91207116581913,-32.97948169251072,0.7392474687824333,117.39159697793616,0.11778727168566272,0.050019782788065736,0
0.2,0.355,170.94823406803434,-32.97442689142119,0.7402899164959076,117.31146412853107,0.118366224328043,0.050401734312395474,0
0.2,0.356,170.98439697024952,-32.969401921625234,0.741332255429511,117.23133964102354,0.11894496428718426,0.05076884768009782,0
0.2,0.357,171.02055987246476,-32.964406744095754,0.7423744864463252,117.1512234490686,0.11952347947367725,0.051121678402226145,0
0.2,0.358,171.05672277467997,-32.95944132007963,0.743416610408953,117.07111548635804,0.12010175782836496,0.05146077239050495,0
0.2,0.359,171.09288567689518,-32.9545056110966,0.7444586281795221,116.9910156866202,0.12067978732233176,0.05178666604738735,0
0.2,0.36,171.1290485791104,-32.949599578938255,0.7455005406196902,116.91092398361954,0.12125755595689358,0.05209988635421525,0
0.2,0.361,171.1652114813256,-32.94472318566678,0.7465423485906456,116.83084031115663,0.12183505176357756,0.05240095095757691,0
0.2,0.362,171.20137438354078,-32.93987639361407,0.7475840529531111,116.75076460306775,0.12241226280411399,0.052690368253826225,0
0.2,0.363,171.237537285756,-32.93505916538048,0.7486256545673472,116.67069679322478,0.12298917717041791,0.05296863747185454,0
0.2,0.364,171.2737001879712,-32.9302714638339,0.7496671542931546,116.59063681553492,0.1235657829845822,0.0532362487540603,0
